Sector,Weight
Consumer Cyclical,0.18333333333333332
Industrials,0.175
Technology,0.16666666666666666
Healthcare,0.15
Financial Services,0.09166666666666666
Utilities,0.075
Communication Services,0.058333333333333334
Consumer Defensive,0.05
Real Estate,0.016666666666666666
Basic Materials,0.016666666666666666
Energy,0.008333333333333333
ETF,0.008333333333333333
